name,prefix,zone
Afghanistan_93,93,1179
Afghanistan-Mobile AWCC_9370,9370,1180
Afghanistan-Mobile Etisalat_9378,9378,1181
Afghanistan-Mobile MTN_9377,9377,1182
Afghanistan-Mobile Others_937,937,1183
Afghanistan-Mobile Others_9375,9375,1183
Afghanistan-Mobile Roshan_9372,9372,1184
Afghanistan-Mobile Roshan_9379,9379,1184
Albania_355,355,1185
Albania-Fixed AMC_35521160,35521160,2375
Albania-Fixed AMC_35521161,35521161,2375
Albania-Fixed AMC_35521250,35521250,2375
Albania-Fixed AMC_35521340,35521340,2375
Albania-Fixed AMC_35521440,35521440,2375
Albania-Fixed AMC_3552155,3552155,2375
Albania-Fixed AMC_35521650,35521650,2375
Albania-Fixed AMC_35521651,35521651,2375
Albania-Fixed AMC_35521740,35521740,2375
Albania-Fixed AMC_35521741,35521741,2375
Albania-Fixed AMC_3552185,3552185,2375
Albania-Fixed AMC_35521940,35521940,2375
Albania-Fixed AMC_35522530,35522530,2375
Albania-Fixed AMC_35522540,35522540,2375
Albania-Fixed AMC_35524401,35524401,2375
Albania-Fixed AMC_35524402,35524402,2375
Albania-Fixed AMC_35524403,35524403,2375
Albania-Fixed AMC_35524404,35524404,2375
Albania-Fixed AMC_35524405,35524405,2375
Albania-Fixed AMC_35524406,35524406,2375
Albania-Fixed AMC_35524407,35524407,2375
Albania-Fixed AMC_35524408,35524408,2375
Albania-Fixed AMC_35524409,35524409,2375
Albania-Fixed AMC_35526160,35526160,2375
Albania-Fixed AMC_35526250,35526250,2375
Albania-Fixed AMC_35526293,35526293,2375
Albania-Fixed AMC_35526323,35526323,2375
Albania-Fixed AMC_35526350,35526350,2375
Albania-Fixed AMC_35526363,35526363,2375
Albania-Fixed AMC_35526373,35526373,2375
Albania-Fixed AMC_35526383,35526383,2375
Albania-Fixed AMC_35526450,35526450,2375
Albania-Fixed AMC_35526490,35526490,2375
Albania-Fixed AMC_35526523,35526523,2375
Albania-Fixed AMC_35526563,35526563,2375
Albania-Fixed AMC_35526650,35526650,2375
Albania-Fixed AMC_35526673,35526673,2375
Albania-Fixed AMC_35526723,35526723,2375
Albania-Fixed AMC_35526770,35526770,2375
Albania-Fixed AMC_35526840,35526840,2375
Albania-Fixed AMC_35526890,35526890,2375
Albania-Fixed AMC_35526950,35526950,2375
Albania-Fixed AMC_35526970,35526970,2375
Albania-Fixed AMC_35526990,35526990,2375
Albania-Fixed AMC_35527023,35527023,2375
Albania-Fixed AMC_35527043,35527043,2375
Albania-Fixed AMC_35527053,35527053,2375
Albania-Fixed AMC_35527070,35527070,2375
Albania-Fixed AMC_35527140,35527140,2375
Albania-Fixed AMC_35527190,35527190,2375
Albania-Fixed AMC_35527223,35527223,2375
Albania-Fixed AMC_35527253,35527253,2375
Albania-Fixed AMC_35527270,35527270,2375
Albania-Fixed AMC_35527323,35527323,2375
Albania-Fixed AMC_35527350,35527350,2375
Albania-Fixed AMC_35527370,35527370,2375
Albania-Fixed AMC_35527390,35527390,2375
Albania-Fixed AMC_35527440,35527440,2375
Albania-Fixed AMC_35527470,35527470,2375
Albania-Fixed AMC_35527490,35527490,2375
Albania-Fixed AMC_35527523,35527523,2375
Albania-Fixed AMC_35527550,35527550,2375
Albania-Fixed AMC_35527570,35527570,2375
Albania-Fixed AMC_35527590,35527590,2375
Albania-Fixed AMC_35527623,35527623,2375
Albania-Fixed AMC_35527660,35527660,2375
Albania-Fixed AMC_35527693,35527693,2375
Albania-Fixed AMC_35527723,35527723,2375
Albania-Fixed AMC_35527760,35527760,2375
Albania-Fixed AMC_35527790,35527790,2375
Albania-Fixed AMC_35527840,35527840,2375
Albania-Fixed AMC_35527860,35527860,2375
Albania-Fixed AMC_35527880,35527880,2375
Albania-Fixed AMC_35527923,35527923,2375
Albania-Fixed AMC_35527950,35527950,2375
Albania-Fixed AMC_35527970,35527970,2375
Albania-Fixed AMC_35527990,35527990,2375
Albania-Fixed AMC_35528123,35528123,2375
Albania-Fixed AMC_35528124,35528124,2375
Albania-Fixed AMC_35528143,35528143,2375
Albania-Fixed AMC_35528144,35528144,2375
Albania-Fixed AMC_35528190,35528190,2375
Albania-Fixed AMC_35528223,35528223,2375
Albania-Fixed AMC_35528250,35528250,2375
Albania-Fixed AMC_35528290,35528290,2375
Albania-Fixed AMC_35528323,35528323,2375
Albania-Fixed AMC_35528350,35528350,2375
Albania-Fixed AMC_35528390,35528390,2375
Albania-Fixed AMC_35528450,35528450,2375
Albania-Fixed AMC_35528523,35528523,2375
Albania-Fixed AMC_35528570,35528570,2375
Albania-Fixed AMC_35528623,35528623,2375
Albania-Fixed AMC_35528643,35528643,2375
Albania-Fixed AMC_35528680,35528680,2375
Albania-Fixed AMC_35528763,35528763,2375
Albania-Fixed AMC_35528790,35528790,2375
Albania-Fixed AMC_35528823,35528823,2375
Albania-Fixed AMC_35528850,35528850,2375
Albania-Fixed AMC_35528870,35528870,2375
Albania-Fixed AMC_35528890,35528890,2375
Albania-Fixed AMC_35528950,35528950,2375
Albania-Fixed AMC_35528970,35528970,2375
Albania-Fixed AMC_35528990,35528990,2375
Albania-Fixed AMC_35529140,35529140,2375
Albania-Fixed AMC_35529190,35529190,2375
Albania-Fixed AMC_35529240,35529240,2375
Albania-Fixed AMC_35529280,35529280,2375
Albania-Fixed AMC_35529340,35529340,2375
Albania-Fixed AMC_35529370,35529370,2375
Albania-Fixed AMC_35529390,35529390,2375
Albania-Fixed AMC_35529423,35529423,2375
Albania-Fixed AMC_35529460,35529460,2375
Albania-Fixed AMC_35529490,35529490,2375
Albania-Fixed AMC_35529523,35529523,2375
Albania-Fixed AMC_35529550,35529550,2375
Albania-Fixed AMC_35529570,35529570,2375
Albania-Fixed AMC_35529590,35529590,2375
Albania-Fixed AMC_35529623,35529623,2375
Albania-Fixed AMC_35529650,35529650,2375
Albania-Fixed AMC_35529680,35529680,2375
Albania-Fixed AMC_35529723,35529723,2375
Albania-Fixed AMC_35529750,35529750,2375
Albania-Fixed AMC_35529763,35529763,2375
Albania-Fixed AMC_35529780,35529780,2375
Albania-Fixed AMC_35531150,35531150,2375
Albania-Fixed AMC_35531151,35531151,2375
Albania-Fixed AMC_35531250,35531250,2375
Albania-Fixed AMC_35531350,35531350,2375
Albania-Fixed AMC_35531351,35531351,2375
Albania-Fixed AMC_3553270,3553270,2375
Albania-Fixed AMC_3553350,3553350,2375
Albania-Fixed AMC_3553351,3553351,2375
Albania-Fixed AMC_3553490,3553490,2375
Albania-Fixed AMC_3553491,3553491,2375
Albania-Fixed AMC_3553560,3553560,2375
Albania-Fixed AMC_35536023,35536023,2375
Albania-Fixed AMC_35536043,35536043,2375
Albania-Fixed AMC_35536063,35536063,2375
Albania-Fixed AMC_35536073,35536073,2375
Albania-Fixed AMC_35536090,35536090,2375
Albania-Fixed AMC_35536150,35536150,2375
Albania-Fixed AMC_35536240,35536240,2375
Albania-Fixed AMC_35536290,35536290,2375
Albania-Fixed AMC_35536340,35536340,2375
Albania-Fixed AMC_35536380,35536380,2375
Albania-Fixed AMC_35536440,35536440,2375
Albania-Fixed AMC_35536480,35536480,2375
